ID	Longitude	Latitude	number	Habitat
631	-48.4	-22.8	17	Other host
233	30.2	-22.6	14	Aquatic
234	30.7	-22.5	16	Aquatic
181	-176.6	-22.2	7	Aquatic
180	-176.6	-22	19	Aquatic
628	-47.9	-21.2	6	Other host
627	-47.8	-21.2	14	Other host
242	-35.4	-21.1	12	Aquatic
241	-35.3	-21	7	Aquatic
178	-176.2	-20.8	8	Aquatic
177	-176.2	-20.7	2	Aquatic
228	-3.2	-20.4	12	Aquatic
231	-3.3	-20.3	10	Aquatic
179	-176.6	-20.2	3	Aquatic
183	-177	-20.1	1	Aquatic
176	-176.1	-20.1	2	Aquatic
626	-43.6	-19.3	8	Other host
757	-43.6	-19.3	5	Terrestrial
629	-48.2	-19.1	15	Other host
263	42.2	-17.6	10	Aquatic
232	3	-17.3	9	Aquatic
8	-100.7	-17	12	Aquatic
283	53.9	-17	4	Aquatic
620	177.8	-16.9	6	Other host
354	-76.6	-16.2	10	Aquatic
237	-33.4	-15.8	8	Aquatic
343	-75.4	-15.6	1	Aquatic
265	43.3	-15.3	6	Aquatic
348	-76.2	-14.5	12	Aquatic
359	-77.5	-14.2	6	Aquatic
386	-81.4	-13.7	3	Aquatic
240	34.8	-13.5	14	Aquatic
442	-96	-13	5	Aquatic
382	-80.8	-13	9	Aquatic
439	-96.2	-12.9	14	Aquatic
438	-96.1	-12.9	7	Aquatic
441	-96	-12.9	7	Aquatic
639	-70.1	-12.5	12	Other host
604	131	-12.5	2	Other host
385	-81.4	-11.5	7	Aquatic
211	-26	-9.5	5	Aquatic
125	-140.5	-9.2	10	Aquatic
126	-140.6	-9.1	7	Aquatic
120	-139.3	-9	8	Aquatic
119	-139.2	-9	11	Aquatic
128	-142.6	-8.9	9	Aquatic
124	-140.3	-8.9	12	Aquatic
173	-17.9	-8.8	9	Aquatic
190	-18	-8.7	3	Aquatic
615	158.8	-8.4	4	Other host
607	147	-6.7	6	Other host
226	29.9	-6.5	7	Aquatic
225	29.9	-6.4	7	Aquatic
222	29.7	-6.2	23	Aquatic
223	29.8	-6	12	Aquatic
175	-170.8	-5.7	3	Aquatic
174	-170.7	-5.7	6	Aquatic
224	29.9	-5.7	8	Aquatic
219	29.5	-5.6	9	Aquatic
411	-85.3	-5.3	12	Aquatic
410	-85.3	-5.2	7	Aquatic
218	29.5	-4.9	24	Aquatic
221	29.6	-4.9	16	Aquatic
220	29.6	-4.8	10	Aquatic
583	11.8	-4.7	21	Other host
566	35.1	-3.6	27	Human
141	150	-3.6	4	Aquatic
212	-27.3	-3	2	Aquatic
60	121.1	-2.8	3	Aquatic
61	121.2	-2.7	12	Aquatic
63	121.4	-2.7	14	Aquatic
62	121.3	-2.5	6	Aquatic
217	29.2	-2.1	6	Aquatic
406	-84.6	-2	9	Aquatic
216	29.2	-2	7	Aquatic
405	-84.6	-1.9	4	Aquatic
404	-84.6	-1.8	7	Aquatic
215	29.2	-1.8	26	Aquatic
214	29.1	-1.6	42	Aquatic
429	-90.4	-1.2	7	Aquatic
434	-91.1	-0.6	2	Aquatic
203	-23	-0.5	4	Aquatic
142	-153.7	0	11	Aquatic
238	-33.5	0	3	Aquatic
554	0	0	63	Human
2	0	0	13	Aquatic
451	0	0	11	Engineered
573	0	0	6	Other host
697	0	0	3	Terrestrial
326	71.6	0	7	Aquatic
624	34.9	0.3	18	Other host
443	-97.1	0.9	2	Aquatic
454	103.8	1.3	15	Engineered
248	-37	1.5	3	Aquatic
440	96.8	1.8	5	Aquatic
444	-97.1	2	1	Aquatic
407	-84.6	2.1	5	Aquatic
403	-84.5	2.1	11	Aquatic
109	-13.6	2.4	9	Aquatic
625	37.1	2.7	18	Other host
257	-39	3.5	11	Aquatic
769	-73.2	4.1	4	Terrestrial
770	-73.2	4.2	4	Terrestrial
633	-53	5.1	36	Other host
335	73.9	6	11	Aquatic
12	-103	6.3	8	Aquatic
10	-103.1	6.4	11	Aquatic
270	-48	6.5	4	Aquatic
210	-26	7.3	6	Aquatic
370	79.3	7.4	10	Aquatic
144	-156	8	7	Aquatic
605	134.4	8.1	6	Other host
280	-50	8.3	8	Aquatic
413	-86.5	8.7	5	Aquatic
637	-68.3	9	10	Other host
777	-79.8	9.1	3	Terrestrial
655	-79.7	9.1	22	Other host
155	-163.5	9.2	11	Aquatic
383	-80	9.3	15	Aquatic
436	-92.3	9.5	7	Aquatic
284	-55.3	9.7	8	Aquatic
14	-104.3	9.8	28	Aquatic
580	-104.3	9.8	1	Other host
380	80.1	9.8	1	Aquatic
133	-145	10	15	Aquatic
450	-99.3	10.1	15	Aquatic
680	-84	10.2	31	Other host
304	-65.1	10.8	11	Aquatic
17	-108.1	12	8	Aquatic
19	-108	12	8	Aquatic
130	144.9	12.5	2	Aquatic
129	144.7	12.6	6	Aquatic
606	144.6	13.5	6	Other host
46	-116.7	14.1	9	Aquatic
47	-116.7	14.2	9	Aquatic
45	-116.6	14.2	5	Aquatic
51	-118.8	14.5	5	Aquatic
209	-26	14.5	11	Aquatic
320	70	14.5	10	Aquatic
321	70	14.6	6	Aquatic
195	-20.5	15.2	8	Aquatic
93	-124.5	15.9	12	Aquatic
683	-88.1	16.8	12	Other host
289	-59.8	17.4	10	Aquatic
114	-133.3	18	5	Aquatic
307	-67.2	18	8	Aquatic
503	-67	18	29	Engineered
309	-67	18	2	Aquatic
764	-65	18	11	Terrestrial
115	-133.3	18.1	7	Aquatic
13	-104.2	18.2	8	Aquatic
502	-65.8	18.3	12	Engineered
763	-65.8	18.3	2	Terrestrial
281	-52.6	18.3	4	Aquatic
391	-81.9	18.4	7	Aquatic
635	-66.1	18.4	5	Other host
762	-65.7	18.4	11	Terrestrial
255	39.9	18.4	3	Aquatic
253	39.8	18.5	6	Aquatic
306	66.5	18.6	4	Aquatic
305	66.4	18.7	5	Aquatic
18	-108.8	18.9	11	Aquatic
15	-104.9	18.9	8	Aquatic
300	64.5	19	9	Aquatic
301	64.6	19	5	Aquatic
743	-155.8	19.1	4	Terrestrial
696	-98.9	19.1	1	Other host
744	-155.8	19.3	1	Terrestrial
282	-52.6	20	13	Aquatic
16	-107	20.3	4	Aquatic
578	-101.9	20.7	14	Other host
297	63.5	20.8	6	Aquatic
298	63.6	20.8	7	Aquatic
579	-103.9	21	16	Other host
140	-150.4	21.1	9	Aquatic
577	-100.3	21.1	18	Other host
613	-157.8	21.3	6	Other host
612	-157.7	21.4	4	Other host
614	-157.8	21.5	6	Other host
200	-23.5	21.5	2	Aquatic
576	-100.2	21.8	27	Other host
145	-158	22	6	Aquatic
250	38.2	22.1	5	Aquatic
467	114.1	22.3	7	Engineered
468	114.2	22.3	32	Engineered
586	114.2	22.3	12	Other host
146	-158	22.8	11	Aquatic
269	-46.1	22.8	12	Aquatic
246	37.3	23.4	4	Aquatic
353	-76.5	24.4	4	Aquatic
664	-81.4	24.5	10	Other host
668	-81.8	24.6	1	Other host
665	-81.4	24.6	8	Other host
418	-88.4	24.7	1	Aquatic
666	-81.5	24.7	4	Other host
663	-80.3	25.3	10	Other host
446	98.4	25.4	7	Aquatic
447	98.5	25.4	10	Aquatic
419	-88.4	25.5	7	Aquatic
308	-67.3	25.5	2	Aquatic
420	-88.4	25.6	9	Aquatic
421	-88.5	25.7	6	Aquatic
169	-17.5	26	4	Aquatic
662	-80.2	26.1	15	Other host
37	-111.4	27	33	Aquatic
27	-110.6	27	23	Aquatic
36	111.4	27	7	Aquatic
431	-90.6	27.4	14	Aquatic
669	-81.8	27.6	25	Other host
673	-82.3	28.6	17	Other host
432	-90.8	28.7	3	Aquatic
667	-81.5	28.7	18	Other host
430	-90.5	28.9	16	Aquatic
457	105.5	28.9	12	Engineered
201	-23.7	29.1	7	Aquatic
426	-89.9	29.4	3	Aquatic
384	-81.2	29.7	26	Aquatic
433	-90	29.9	13	Aquatic
202	-23.7	30	7	Aquatic
562	120	30	35	Human
676	-84.3	30.3	1	Other host
695	-97.7	30.4	9	Other host
679	-84.5	30.4	7	Other host
677	-84.4	30.5	6	Other host
551	-96.3	30.6	8	Engineered
789	-87.4	30.7	5	Terrestrial
455	104.1	30.7	16	Engineered
796	-95.2	31.1	4	Terrestrial
563	121.5	31.2	58	Human
472	121.5	31.3	17	Engineered
388	-81.6	31.4	13	Aquatic
147	-159.1	31.5	9	Aquatic
691	-90.9	31.5	7	Other host
299	-64.1	31.8	1	Aquatic
392	-81	32	26	Aquatic
168	-17.3	32.1	9	Aquatic
171	17.7	32.1	6	Aquatic
584	-110.9	32.2	2	Other host
672	-82.1	32.5	5	Other host
706	-110.9	32.6	3	Terrestrial
674	-82	32.9	21	Other host
671	-81.9	33	12	Other host
670	-81.8	33.1	6	Other host
711	-116.3	33.3	18	Terrestrial
41	-115.8	33.3	17	Aquatic
42	-115.9	33.4	27	Aquatic
712	-117.7	33.7	5	Terrestrial
471	-118.3	33.8	9	Engineered
400	-83.6	33.9	7	Aquatic
399	-83.5	33.9	2	Aquatic
784	-83.4	33.9	34	Terrestrial
285	-56.8	33.9	11	Aquatic
236	32.7	33.9	3	Aquatic
588	-118.5	34	1	Other host
275	-49.8	34	3	Aquatic
634	54.4	34	6	Other host
582	107.6	34	3	Other host
559	-118.4	34.1	59	Human
587	-118.4	34.1	7	Other host
56	-119.5	34.2	6	Aquatic
408	-84	34.2	13	Aquatic
274	-49.7	34.2	3	Aquatic
409	-84	34.3	16	Aquatic
591	-119.8	34.4	40	Other host
58	-119.8	34.4	14	Aquatic
589	-119.7	34.4	23	Other host
656	-79	34.4	8	Other host
649	-78.4	34.6	6	Other host
358	-77.1	34.6	20	Aquatic
651	-78.6	34.7	4	Other host
355	-76.7	34.7	9	Aquatic
483	135.1	34.7	14	Engineered
484	135.3	34.7	18	Engineered
323	-71.2	34.8	5	Aquatic
654	-79.4	34.9	23	Other host
106	-13.1	34.9	1	Aquatic
448	-98.7	35	2	Aquatic
778	-80.8	35.2	2	Terrestrial
100	-127.7	35.3	10	Aquatic
101	-127.7	35.4	17	Aquatic
292	-6.6	35.6	8	Aquatic
486	139.4	35.6	17	Engineered
650	-78.5	35.7	36	Other host
313	-7.3	35.7	2	Aquatic
122	14.3	35.7	6	Aquatic
681	-84	35.8	24	Other host
245	-37.1	35.8	7	Aquatic
123	14.3	35.8	7	Aquatic
653	-79.1	35.9	5	Other host
657	-79	35.9	31	Other host
652	-78.8	35.9	2	Other host
349	-76.2	35.9	8	Aquatic
488	139.6	35.9	11	Engineered
458	-106.1	36	37	Engineered
552	-97	36	5	Engineered
227	-29	36.1	1	Aquatic
402	-84.3	36.2	4	Aquatic
239	-33.9	36.2	19	Aquatic
213	-28.8	36.2	4	Aquatic
72	-122.2	36.3	10	Aquatic
487	139.4	36.3	18	Engineered
43	-116.3	36.4	23	Aquatic
205	25.5	36.5	26	Aquatic
594	-121.9	36.6	5	Other host
74	-122.3	36.7	2	Aquatic
78	-122	36.7	8	Aquatic
69	-121.9	36.8	22	Aquatic
68	-121.8	36.8	11	Aquatic
66	-121.7	36.8	13	Aquatic
48	-116.7	37	3	Aquatic
356	-76	37	6	Aquatic
350	-76.2	37.1	8	Aquatic
170	-17.5	37.1	7	Aquatic
346	-76.1	37.2	2	Aquatic
565	-3.6	37.2	2	Human
235	-32.3	37.3	29	Aquatic
79	122	37.3	6	Aquatic
49	-118.5	37.4	10	Aquatic
485	138.8	37.4	16	Engineered
725	-122.1	37.5	13	Terrestrial
70	-122.1	37.5	10	Aquatic
80	-122	37.5	6	Aquatic
474	-121.9	37.5	31	Engineered
347	-76.1	37.5	4	Aquatic
71	-122.1	37.6	14	Aquatic
52	-118.8	37.7	6	Aquatic
445	-97.8	37.7	14	Aquatic
479	-122.4	37.8	19	Engineered
728	-122.3	37.8	32	Terrestrial
476	-122.3	37.8	31	Engineered
54	-119.4	37.8	9	Aquatic
732	-122.5	37.9	8	Terrestrial
564	-122.3	37.9	14	Human
477	-122.3	37.9	9	Engineered
595	-122.3	37.9	4	Other host
475	-122.2	37.9	17	Engineered
600	-122	37.9	23	Other host
598	-122.5	38	35	Other host
733	-122.5	38	6	Terrestrial
724	-121.9	38	7	Terrestrial
729	-122.3	38.1	3	Terrestrial
726	-122.1	38.1	4	Terrestrial
723	-121.8	38.1	3	Terrestrial
722	-121.7	38.1	6	Terrestrial
67	-121.7	38.1	1	Aquatic
65	-121.6	38.1	10	Aquatic
351	-76.2	38.1	12	Aquatic
20	11.5	38.1	13	Aquatic
730	-122.4	38.2	1	Terrestrial
734	-122	38.2	13	Terrestrial
262	4.7	38.4	8	Aquatic
473	-121.8	38.5	44	Engineered
4	10.2	38.5	9	Aquatic
196	21.3	38.5	19	Aquatic
702	-109.6	38.6	16	Terrestrial
571	-90.3	38.6	11	Human
107	13.2	38.6	8	Aquatic
50	-118.7	38.7	11	Aquatic
703	-109.7	38.7	26	Terrestrial
340	-75.2	38.8	14	Aquatic
339	-75.1	38.8	13	Aquatic
731	-122.4	38.9	31	Terrestrial
720	-120.6	38.9	8	Terrestrial
24	-110.1	38.9	10	Aquatic
352	-76.4	38.9	2	Aquatic
735	-123.1	39	1	Terrestrial
76	-122.4	39	20	Aquatic
569	-77.1	39	86	Human
525	-77.1	39	7	Engineered
774	-77.1	39	1	Terrestrial
797	-96.6	39.1	4	Terrestrial
342	-75.3	39.1	9	Aquatic
341	-75.2	39.1	7	Aquatic
322	-70	39.1	7	Aquatic
721	-121.3	39.2	1	Terrestrial
332	-72	39.2	3	Aquatic
568	-76.6	39.3	54	Human
357	-76	39.3	13	Aquatic
344	-75.4	39.3	21	Aquatic
328	-72.2	39.3	6	Aquatic
192	19.4	39.4	16	Aquatic
329	-72.4	39.5	6	Aquatic
258	4.4	39.5	4	Aquatic
276	5.2	39.5	8	Aquatic
291	6.4	39.5	9	Aquatic
312	7.2	39.5	11	Aquatic
314	7.3	39.5	9	Aquatic
21	11.5	39.5	8	Aquatic
779	-80	39.6	15	Terrestrial
330	-72.4	39.6	11	Aquatic
648	-74.8	39.7	14	Other host
647	-74.7	39.7	19	Other host
645	-74.6	39.7	24	Other host
701	-105.1	39.8	10	Terrestrial
547	-89	39.8	15	Engineered
782	-81	39.8	14	Terrestrial
646	-74.6	39.8	2	Other host
780	-80	39.9	6	Terrestrial
523	-75.2	39.9	14	Engineered
644	-74.5	39.9	31	Other host
557	116.3	39.9	3	Human
558	116.4	39.9	63	Human
538	-83	40	13	Engineered
368	-79.1	40	17	Aquatic
3	-1.9	40	28	Aquatic
685	-88.3	40.1	3	Other host
684	-88.2	40.1	13	Other host
539	-87.6	40.1	7	Engineered
781	-81.1	40.2	27	Terrestrial
193	2.3	40.2	10	Aquatic
737	-123.3	40.3	1	Terrestrial
544	-88.2	40.3	11	Engineered
700	-104.7	40.4	4	Terrestrial
790	-87	40.4	3	Terrestrial
537	-80	40.4	1	Engineered
518	-74.2	40.5	26	Engineered
497	-40.5	40.5	7	Engineered
456	-105.1	40.6	4	Engineered
519	-74.2	40.6	24	Engineered
517	-74.1	40.6	25	Engineered
520	-74	40.6	45	Engineered
513	-73.9	40.6	26	Engineered
509	-73.8	40.6	44	Engineered
572	-0.7	40.6	16	Other host
55	-119.4	40.7	24	Aquatic
521	-74	40.7	59	Engineered
514	-73.9	40.7	54	Engineered
510	-73.8	40.7	36	Engineered
772	-76.3	40.8	30	Terrestrial
522	-74	40.8	58	Engineered
515	-73.9	40.8	63	Engineered
511	-73.8	40.8	29	Engineered
508	-73.6	40.8	8	Engineered
798	-96.7	40.9	11	Terrestrial
516	-73.9	40.9	43	Engineered
512	-73.8	40.9	37	Engineered
507	-72.9	40.9	4	Engineered
642	-72.8	40.9	4	Other host
709	-111.9	41.1	1	Terrestrial
540	-87.6	41.1	13	Engineered
363	-78.4	41.1	17	Aquatic
694	-96.7	41.2	1	Other host
693	-96.4	41.2	2	Other host
365	-78.5	41.2	11	Aquatic
364	-78.4	41.2	4	Aquatic
360	-77	41.2	29	Aquatic
377	-8.7	41.2	2	Aquatic
658	-8.6	41.2	25	Other host
581	-105.6	41.3	21	Other host
643	-72.9	41.3	5	Other host
39	-112.7	41.5	3	Aquatic
550	-90.4	41.5	12	Engineered
394	-82.9	41.5	1	Aquatic
366	-78.5	41.6	7	Aquatic
319	-70.6	41.6	20	Aquatic
417	-87.5	41.7	10	Aquatic
412	-86.2	41.7	18	Aquatic
675	-83.6	41.7	10	Other host
396	-83.3	41.7	16	Aquatic
708	-111.8	41.8	29	Terrestrial
541	-87.7	41.8	14	Engineered
390	-81.7	41.8	10	Aquatic
641	-72.3	41.8	2	Other host
77	-122.4	41.9	6	Aquatic
372	-8.1	41.9	9	Aquatic
795	-93	42	17	Terrestrial
542	-87.7	42.1	11	Engineered
172	17.7	42.2	2	Aquatic
387	-81.4	42.3	13	Aquatic
640	-71.8	42.3	4	Other host
324	-71.3	42.3	14	Aquatic
682	-85.4	42.4	32	Other host
787	-85.4	42.4	15	Terrestrial
524	-76.5	42.4	22	Engineered
567	-71.1	42.4	22	Human
504	-71	42.4	24	Engineered
788	-85.5	42.5	11	Terrestrial
773	-76.4	42.5	16	Terrestrial
766	-72.2	42.5	10	Terrestrial
659	-8.8	42.5	5	Other host
767	-72.2	42.6	2	Terrestrial
775	-77	42.7	2	Terrestrial
678	-84.4	42.8	9	Other host
786	-84.4	42.8	2	Terrestrial
574	10.1	42.8	3	Other host
108	13.4	42.8	16	Aquatic
543	-87.9	43	25	Engineered
375	8.4	43	5	Aquatic
687	-89.4	43.1	46	Other host
792	-89.4	43.1	10	Terrestrial
546	-89.4	43.1	8	Engineered
423	-89.4	43.1	7	Aquatic
333	-73.6	43.1	12	Aquatic
414	-86.6	43.2	21	Aquatic
793	-89.4	43.3	30	Terrestrial
791	-89.3	43.3	1	Terrestrial
334	-73.6	43.3	20	Aquatic
277	-5.8	43.3	2	Aquatic
290	6.2	43.3	5	Aquatic
373	8.1	43.3	10	Aquatic
535	-80.6	43.4	37	Engineered
381	-80.6	43.4	12	Aquatic
534	-80.5	43.4	1	Engineered
110	13	43.4	26	Aquatic
529	-79.7	43.5	16	Engineered
317	7.9	43.5	9	Aquatic
528	-79.4	43.7	14	Engineered
768	-72.4	43.7	12	Terrestrial
506	-72.4	43.7	6	Engineered
505	-72.1	43.7	29	Engineered
149	-16.9	43.7	2	Aquatic
686	-88.8	43.8	30	Other host
150	-16.9	43.8	9	Aquatic
489	142.4	43.8	20	Engineered
367	-78	43.9	2	Aquatic
698	-103.8	44	6	Terrestrial
545	-88.2	44.1	23	Engineered
727	-122.2	44.2	1	Terrestrial
688	-89.6	44.2	6	Other host
536	-80.8	44.2	8	Engineered
636	-68.1	44.3	12	Other host
243	35	44.3	9	Aquatic
29	-110.7	44.4	25	Aquatic
28	-110.6	44.4	1	Aquatic
33	-110.8	44.5	21	Aquatic
401	-83	44.5	6	Aquatic
556	11.3	44.5	5	Human
35	-110.9	44.6	5	Aquatic
34	-110.8	44.6	2	Aquatic
26	-110.4	44.6	34	Aquatic
30	-110.7	44.7	19	Aquatic
395	-82.9	44.7	9	Aquatic
31	-110.7	44.8	4	Aquatic
32	-110.7	45	20	Aquatic
338	-74.8	45	15	Aquatic
127	141.9	45	25	Aquatic
398	-83.4	45.1	2	Aquatic
397	-83.3	45.2	5	Aquatic
327	-72.1	45.4	23	Aquatic
771	-73.7	45.5	2	Terrestrial
603	13.6	45.5	15	Other host
705	-110.6	45.6	1	Terrestrial
602	126.7	45.7	9	Other host
113	-130	45.9	24	Aquatic
425	-89.7	46	31	Aquatic
424	-89.6	46	25	Aquatic
555	11.1	46.1	10	Human
92	-124.2	46.2	5	Aquatic
90	-123.9	46.2	15	Aquatic
88	-123.8	46.2	3	Aquatic
81	-123.2	46.2	18	Aquatic
95	-124	46.3	6	Aquatic
91	-123.9	46.3	6	Aquatic
87	-123.7	46.3	5	Aquatic
83	-123.5	46.3	2	Aquatic
53	-119.3	46.3	14	Aquatic
713	-119.3	46.4	15	Terrestrial
785	-83.4	46.4	7	Terrestrial
435	-92.3	46.7	12	Aquatic
331	-72.5	46.8	28	Aquatic
638	7.5	46.9	8	Other host
601	-122	47	3	Other host
449	-99.1	47.1	13	Aquatic
422	-88.5	47.1	11	Aquatic
765	7.2	47.4	24	Terrestrial
437	-93.5	47.5	19	Aquatic
692	-93.5	47.5	19	Other host
98	125	47.5	8	Aquatic
75	-122.3	47.6	5	Aquatic
478	-122.3	47.7	32	Engineered
596	-122.3	47.7	1	Other host
102	-127.8	47.8	22	Aquatic
415	-86.9	47.8	7	Aquatic
597	-122.3	47.9	5	Other host
599	-122.5	48	4	Other host
533	8	48	12	Engineered
325	-71.3	48.2	18	Aquatic
194	-2.9	48.2	6	Aquatic
459	11.6	48.2	7	Engineered
617	16.4	48.2	33	Other host
492	16.2	48.3	12	Engineered
82	-123.3	48.4	11	Aquatic
73	-122.2	48.4	18	Aquatic
549	9	48.5	3	Engineered
84	-123.5	48.6	31	Aquatic
99	-126.7	48.7	3	Aquatic
85	-123.5	48.7	7	Aquatic
112	-130.7	49	4	Aquatic
57	-119.5	49	21	Aquatic
739	13.6	49	2	Terrestrial
480	-123.1	49.1	16	Engineered
794	-89.4	49.1	11	Terrestrial
86	-123.5	49.2	1	Aquatic
116	-134.7	49.3	5	Aquatic
736	-123.2	49.3	3	Terrestrial
481	-123.1	49.3	19	Engineered
118	-138.7	49.6	11	Aquatic
96	-124	49.7	22	Aquatic
585	-112.8	49.7	25	Other host
132	-145.1	50	11	Aquatic
134	-145	50	17	Aquatic
131	-144.9	50	7	Aquatic
44	-116.5	50	26	Aquatic
461	-110.7	50	13	Engineered
94	-124.7	50.1	14	Aquatic
89	-123.8	50.1	4	Aquatic
704	11.9	50.1	14	Terrestrial
622	-3.2	50.7	18	Other host
660	8.8	50.8	5	Other host
623	-3.5	50.9	18	Other host
710	-116.2	51.2	11	Terrestrial
592	12.4	51.3	15	Other host
371	79.5	51.4	26	Aquatic
553	-0.1	51.5	61	Human
738	-128.1	51.6	6	Terrestrial
103	-128.1	51.6	1	Aquatic
689	-9.7	51.6	7	Other host
428	-9.7	51.6	2	Aquatic
570	8.8	51.6	6	Human
501	5.9	51.8	3	Engineered
465	-113.8	52	2	Engineered
259	4.4	52	8	Aquatic
531	8.5	52	30	Engineered
466	-113.8	52.1	2	Engineered
632	-5	52.1	9	Other host
6	10.5	52.1	3	Aquatic
369	79.1	52.1	17	Aquatic
776	79.1	52.1	6	Terrestrial
278	5.9	52.2	4	Aquatic
783	82.1	53	7	Terrestrial
378	8.8	53.1	11	Aquatic
532	8.8	53.1	2	Engineered
661	8.8	53.1	1	Other host
111	13	53.2	8	Aquatic
593	-120.3	53.3	8	Other host
499	5.3	53.3	2	Engineered
500	5.4	53.3	16	Engineered
496	-3	53.4	33	Engineered
690	9.9	53.6	28	Other host
453	10.2	53.6	2	Engineered
470	-114	54	17	Engineered
294	6.9	54	3	Aquatic
469	-114.7	54.2	1	Engineered
318	7.9	54.2	23	Aquatic
530	8.4	54.5	14	Engineered
590	-119.7	54.7	6	Other host
452	-1.6	55	14	Engineered
460	-110.5	55.1	4	Engineered
315	7.4	55.5	30	Aquatic
560	12.5	55.7	86	Human
561	12.6	55.7	59	Human
482	13.1	55.7	8	Engineered
229	-3.2	55.9	37	Aquatic
7	10.5	56.1	10	Aquatic
22	11.7	56.6	10	Aquatic
707	-111.4	56.7	5	Terrestrial
464	-111.7	57	16	Engineered
462	-111.6	57	7	Engineered
463	-111.6	57.1	4	Engineered
548	9.9	57.1	2	Engineered
148	16.7	57.4	12	Aquatic
189	18.3	58.6	4	Aquatic
494	18.1	59.3	5	Engineered
188	18.1	59.4	1	Aquatic
495	18.2	59.4	12	Engineered
493	17.7	59.8	10	Engineered
575	10.8	60	1	Other host
97	-125.5	60.2	18	Aquatic
198	21.5	61.2	12	Aquatic
204	25.1	61.2	8	Aquatic
608	-148.1	61.6	13	Other host
199	22	61.6	17	Aquatic
5	10.4	63.4	3	Aquatic
740	-148.3	64.7	3	Terrestrial
251	-38.5	65.4	9	Aquatic
760	-50.5	67.1	7	Terrestrial
759	-50.3	67.1	2	Terrestrial
279	-50	67.1	6	Aquatic
758	-50.1	67.2	7	Terrestrial
761	-50	67.2	18	Terrestrial
747	16.7	67.9	5	Terrestrial
750	18.3	67.9	2	Terrestrial
751	18.4	67.9	8	Terrestrial
752	18.5	67.9	11	Terrestrial
753	18.6	67.9	12	Terrestrial
755	19	68.4	27	Terrestrial
754	19.1	68.4	7	Terrestrial
741	-149.3	68.6	13	Terrestrial
316	7.7	69.2	3	Aquatic
